time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/clip_range,train/value_loss,train/loss,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/n_updates,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
0,749,20,60,0.2,2334.381298828125,1157.3388671875,-0.9628010571002961,8.0764294e-05,-0.0010716905606386717,0.0,-0.03620457649230957,190,0.0003,20.0,296.5
0,799,21,63,0.2,4297.2666015625,2134.984130859375,-0.5970900416374206,2.6226044e-06,-0.0005706750011693629,0.0,1.1920928955078125e-07,200,0.0003,20.333333333333332,261.6666666666667
0,831,22,66,0.2,3.8709057569503784,1.634517788887024,-1.1330293655395507,0.0006310145,-0.00991043777515479,0.0,0.5242196023464203,210,0.0003,20.333333333333332,261.6666666666667
0,837,23,69,0.2,0.04364531543105841,0.012696269899606705,-0.6482703685760498,0.000170211,-0.004406209807106621,0.0,0.0,220,0.0003,20.333333333333332,261.6666666666667
0,839,24,72,0.2,0.006602363125421107,0.0030400461982935667,-0.6481886804103851,3.9339066e-06,-1.352566040822012e-05,0.0,0.0,230,0.0003,20.333333333333332,261.6666666666667
0,841,25,75,0.2,0.006789327901788056,0.0019091091817244887,0.0,0.0,-4.2468310113008555e-08,0.0,0.0,240,0.0003,20.333333333333332,261.6666666666667
0,842,26,78,0.2,0.005975831858813762,0.0024577276781201363,0.0,0.0,5.587935447692871e-10,0.0,0.0,250,0.0003,20.333333333333332,261.6666666666667
0,844,27,81,0.2,0.005841742816846818,0.001990201883018017,0.0,0.0,-1.1324882507324218e-07,0.0,0.0,260,0.0003,20.333333333333332,261.6666666666667
0,846,28,84,0.2,0.005378678464330733,0.0021494156681001186,0.0,0.0,-3.7997962465396994e-08,0.0,0.0,270,0.0003,20.333333333333332,261.6666666666667
0,847,29,87,0.2,0.0051395912771113215,0.0019352124072611332,0.0,0.0,5.5258474240815755e-09,0.0,0.0,280,0.0003,20.333333333333332,261.6666666666667
0,849,30,90,0.2,0.004802351410035044,0.001933204592205584,0.0,0.0,-9.120752579860891e-08,0.0,0.0,290,0.0003,20.333333333333332,261.6666666666667
0,851,31,93,0.2,0.004542392143048346,0.0018048761412501335,0.0,0.0,-4.470348358154297e-09,0.0,0.0,300,0.0003,20.333333333333332,261.6666666666667
0,853,32,96,0.2,0.004262989712879061,0.0017484549898654222,0.0,0.0,-1.2014061496756766e-07,0.0,0.0,310,0.0003,20.333333333333332,261.6666666666667
0,854,33,99,0.2,0.004017816297709942,0.0016581242671236396,0.0,0.0,8.878606649886933e-09,0.0,-1.1920928955078125e-07,320,0.0003,20.333333333333332,261.6666666666667
0,856,34,102,0.2,0.0037774802534841,0.0015927937347441912,0.0,0.0,-8.86619119455645e-08,0.0,0.0,330,0.0003,20.333333333333332,261.6666666666667
0,858,35,105,0.2,0.003554318635724485,0.0014999693958088756,0.0,0.0,-2.800176606143623e-08,0.0,0.0,340,0.0003,20.333333333333332,261.6666666666667
0,859,36,108,0.2,0.003338588995393366,0.0014241390163078904,0.0,0.0,-4.755954030599696e-08,0.0,0.0,350,0.0003,20.333333333333332,261.6666666666667
0,861,37,111,0.2,0.003138275200035423,0.0013461582129821181,0.0,0.0,-6.953875342219362e-08,0.0,0.0,360,0.0003,20.333333333333332,261.6666666666667
0,868,38,114,0.2,0.0029535950510762633,0.0012634943705052137,0.0,0.0,-5.36441810083943e-08,0.0,0.0,370,0.0003,20.333333333333332,261.6666666666667
0,869,39,117,0.2,0.0028196874889545144,-0.026145394891500473,-0.6926704466342926,0.0010215839,-0.012008521597211797,0.0,0.0,380,0.0003,20.333333333333332,261.6666666666667
0,871,40,120,0.2,0.0025942331121768802,0.0012339659733697772,0.0,0.0,-3.1044086745701804e-10,0.0,0.0,390,0.0003,20.333333333333332,261.6666666666667
0,873,41,123,0.2,0.0024938843911513687,0.0010008784011006355,0.0,0.0,-6.48200511932373e-08,0.0,-1.1920928955078125e-07,400,0.0003,20.333333333333332,261.6666666666667
0,875,42,126,0.2,0.0023125402512960136,0.0010209840256720781,0.0,0.0,-2.2550424318978913e-07,0.0,0.0,410,0.0003,20.333333333333332,261.6666666666667
0,877,43,129,0.2,0.0021919024526141583,0.0009182427893392742,0.0,0.0,-1.4677644628591223e-07,0.0,0.0,420,0.0003,20.333333333333332,261.6666666666667
